,Country,Year,PM2.5,Life Expectancy
0,Albania,2013,16,77.554
1,Albania,2015,13,78.025
2,Andorra,2017,10,
3,Australia,2016,7,82.44878049
4,Australia,2016,7,82.44878049
5,Australia,2016,8,82.44878049
6,Australia,2016,8,82.44878049
7,Australia,2014,7,82.3
8,Australia,2014,6,82.3
9,Australia,2016,6,82.44878049
10,Australia,2013,6,82.14878049
11,Australia,2016,5,82.44878049
12,Australia,2013,6,82.14878049
13,Australia,2016,5,82.44878049
14,Australia,2014,10,82.3
15,Australia,2013,8,82.14878049
16,Australia,2014,7,82.3
17,Australia,2014,8,82.3
18,Australia,2016,8,82.44878049
19,Australia,2016,8,82.44878049
20,Australia,2016,7,82.44878049
21,Australia,2016,8,82.44878049
22,Australia,2016,8,82.44878049
23,Australia,2016,8,82.44878049
24,Australia,2014,8,82.3
25,Australia,2016,7,82.44878049
26,Australia,2016,7,82.44878049
27,Australia,2016,4,82.44878049
28,Australia,2016,6,82.44878049
29,Austria,2013,12,81.13658537
30,Austria,2016,12,81.64146341
31,Austria,2016,11,81.64146341
32,Austria,2016,12,81.64146341
33,Austria,2016,11,81.64146341
34,Austria,2016,13,81.64146341
35,Austria,2016,13,81.64146341
36,Austria,2015,14,81.1902439
37,Austria,2016,9,81.64146341
38,Austria,2014,13,81.4902439
39,Austria,2016,9,81.64146341
40,Austria,2016,17,81.64146341
41,Austria,2016,11,81.64146341
42,Austria,2013,18,81.13658537
43,Austria,2016,12,81.64146341
44,Austria,2016,12,81.64146341
45,Austria,2014,15,81.4902439
46,Austria,2016,13,81.64146341
47,Austria,2016,11,81.64146341
48,Austria,2013,14,81.13658537
49,Austria,2016,13,81.64146341
50,Austria,2016,10,81.64146341
51,Austria,2016,15,81.64146341
52,Austria,2016,12,81.64146341
53,Austria,2016,11,81.64146341
54,Austria,2016,15,81.64146341
55,Austria,2016,11,81.64146341
56,Austria,2014,16,81.4902439
57,Austria,2016,5,81.64146341
58,Austria,2016,10,81.64146341
59,Austria,2013,18,81.13658537
60,Austria,2016,13,81.64146341
61,Austria,2016,14,81.64146341
62,Austria,2016,12,81.64146341
63,Austria,2016,13,81.64146341
64,Austria,2016,11,81.64146341
65,Austria,2016,14,81.64146341
66,Austria,2016,14,81.64146341
67,Austria,2014,14,81.4902439
68,Austria,2013,15,81.13658537
69,Austria,2016,13,81.64146341
70,Austria,2016,11,81.64146341
71,Austria,2016,14,81.64146341
72,Austria,2016,14,81.64146341
73,Austria,2014,15,81.4902439
74,Austria,2016,13,81.64146341
75,Austria,2016,16,81.64146341
76,Belgium,2016,13,81.43902439
77,Belgium,2016,10,81.43902439
78,Belgium,2016,14,81.43902439
79,Belgium,2016,9,81.43902439
80,Belgium,2016,12,81.43902439
81,Belgium,2016,8,81.43902439
82,Belgium,2016,15,81.43902439
83,Belgium,2016,13,81.43902439
84,Belgium,2016,13,81.43902439
85,Belgium,2013,18,80.58780488
86,Belgium,2016,16,81.43902439
87,Belgium,2016,13,81.43902439
88,Belgium,2016,12,81.43902439
89,Belgium,2016,11,81.43902439
90,Belgium,2013,15,80.58780488
91,Belgium,2016,12,81.43902439
92,Belgium,2016,12,81.43902439
93,Belgium,2016,14,81.43902439
94,Belgium,2016,14,81.43902439
95,Belgium,2016,13,81.43902439
96,Belgium,2016,14,81.43902439
97,Belgium,2016,15,81.43902439
98,Belgium,2016,8,81.43902439
99,Belgium,2013,11,80.58780488
100,Belgium,2016,13,81.43902439
101,Belgium,2016,11,81.43902439
102,Belgium,2013,18,80.58780488
103,Belgium,2016,13,81.43902439
104,Belgium,2016,11,81.43902439
105,Belgium,2016,14,81.43902439
106,Belgium,2016,15,81.43902439
107,Belgium,2016,16,81.43902439
108,Belgium,2016,13,81.43902439
109,Belgium,2016,17,81.43902439
110,Belgium,2013,15,80.58780488
111,Belgium,2016,15,81.43902439
112,Belgium,2016,10,81.43902439
113,Belgium,2016,7,81.43902439
114,Belgium,2016,14,81.43902439
115,Belgium,2016,13,81.43902439
116,Belgium,2016,8,81.43902439
117,Belgium,2016,15,81.43902439
118,Belgium,2016,13,81.43902439
119,Belgium,2016,12,81.43902439
120,Belgium,2016,13,81.43902439
121,Belgium,2016,12,81.43902439
122,Belgium,2016,5,81.43902439
123,Belgium,2016,14,81.43902439
124,Belgium,2016,8,81.43902439
125,Belgium,2016,15,81.43902439
126,Belgium,2016,15,81.43902439
127,Belgium,2016,15,81.43902439
128,Belgium,2016,14,81.43902439
129,Bangladesh,2015,80,71.514
130,Bangladesh,2015,66,71.514
131,Bangladesh,2016,57,71.785
132,Bangladesh,2015,81,71.514
133,Bangladesh,2015,84,71.514
134,Bangladesh,2015,94,71.514
135,Bangladesh,2015,47,71.514
136,Bangladesh,2015,61,71.514
137,Bulgaria,2014,29,74.46585366
138,Bulgaria,2015,29,74.61463415
139,Bulgaria,2014,6,74.46585366
140,Bulgaria,2015,27,74.61463415
141,Bulgaria,2015,25,74.61463415
142,Bulgaria,2016,18,74.81219512
143,Bulgaria,2014,17,74.46585366
144,Bulgaria,2016,20,74.81219512
