,Year,Age,Value
0,,,
1,1990,<5,9301.997753
2,1990,>70,4726.932932
3,1990,50-69,6505.004829
4,1990,43965,159.4452885
5,1991,<5,9008.645672
6,1991,>70,4739.825228
7,1991,50-69,6537.983338
8,1991,43965,154.5688272
9,1992,<5,9349.083265
10,1992,>70,4799.010175
11,1992,50-69,6731.922937
12,1992,43965,167.1290739
13,1993,<5,11604.91749
14,1993,>70,4863.962481
15,1993,50-69,6939.590835
16,1993,43965,191.62308
17,1994,<5,13626.77201
18,1994,>70,4963.3523
19,1994,50-69,7136.604258
20,1994,43965,205.1919327
21,1995,<5,14462.95437
22,1995,>70,5023.829192
23,1995,50-69,7245.497105
24,1995,43965,218.4025949
25,1996,<5,14604.81037
26,1996,>70,5068.303134
27,1996,50-69,7328.749218
28,1996,43965,223.3026116
29,1997,<5,14644.28569
30,1997,>70,5116.958508
31,1997,50-69,7409.407747
32,1997,43965,237.6385586
33,1998,<5,14520.3343
34,1998,>70,5186.860438
35,1998,50-69,7495.921928
36,1998,43965,254.8015083
37,1999,<5,14166.98094
38,1999,>70,5205.234738
39,1999,50-69,7455.95801
40,1999,43965,266.3593788
41,2000,<5,13025.02706
42,2000,>70,5212.998894
43,2000,50-69,7318.843028
44,2000,43965,272.0092916
45,2001,<5,12355.98141
46,2001,>70,5226.930726
47,2001,50-69,7282.694591
48,2001,43965,284.001912
49,2002,<5,11470.48891
50,2002,>70,5152.113349
51,2002,50-69,7092.569016
52,2002,43965,296.4427166
53,2003,<5,13186.92706
54,2003,>70,5061.734073
55,2003,50-69,6865.715041
56,2003,43965,413.75847
57,2004,<5,13386.59695
58,2004,>70,5037.179874
59,2004,50-69,6694.358264
60,2004,43965,457.0788514
61,2005,<5,12740.35252
62,2005,>70,4962.166317
63,2005,50-69,6386.17612
64,2005,43965,463.2441099
65,2006,<5,12065.07166
66,2006,>70,4920.620921
67,2006,50-69,6137.67402
68,2006,43965,446.83739
69,2007,<5,10855.55082
70,2007,>70,4804.715326
71,2007,50-69,5798.146642
72,2007,43965,423.7283878
73,2008,<5,9690.913684
74,2008,>70,4738.403
75,2008,50-69,5543.003222
76,2008,43965,389.8446296
77,2009,<5,8791.062378
78,2009,>70,4639.649869
79,2009,50-69,5239.792479
80,2009,43965,353.3166922
81,2010,<5,8311.581977
82,2010,>70,4563.079042
83,2010,50-69,4960.261863
84,2010,43965,352.3594937
85,2011,<5,7770.434505
86,2011,>70,4442.93995
87,2011,50-69,4707.471353
88,2011,43965,336.1407847
89,2012,<5,7262.51193
90,2012,>70,4372.039886
91,2012,50-69,4541.637256
92,2012,43965,315.0290143
93,2013,<5,7266.890954
94,2013,>70,4338.341549
95,2013,50-69,4455.046281
96,2013,43965,327.6144246
97,2014,<5,7085.839203
98,2014,>70,4322.147207
99,2014,50-69,4414.273541
100,2014,43965,321.2995738
101,2015,<5,6716.12727
102,2015,>70,4247.455711
103,2015,50-69,4333.272579
104,2015,43965,302.6065943
105,2016,<5,6563.176617
106,2016,>70,4254.424882
107,2016,50-69,4413.39806
108,2016,43965,303.6680895
109,2017,<5,6460.592202
110,2017,>70,4231.0527
111,2017,50-69,4518.335415
112,2017,43965,300.4451377
113,1990,<5,390.9959713
114,1990,>70,550.646838
115,1990,50-69,308.3834683
116,1990,43965,14.60910627
117,1991,<5,408.0959417
118,1991,>70,574.6855376
119,1991,50-69,316.6502677
120,1991,43965,15.48564335
121,1992,<5,396.0849628
122,1992,>70,566.6884152
123,1992,50-69,307.8346677
124,1992,43965,14.69462448
125,1993,<5,374.6757578
126,1993,>70,551.9972328
127,1993,50-69,293.2570554
128,1993,43965,13.97919021
129,1994,<5,336.8355274
130,1994,>70,526.3636261
131,1994,50-69,274.4898239
132,1994,43965,12.85194933
133,1995,<5,290.3301417
134,1995,>70,536.9309462
135,1995,50-69,278.5464304
136,1995,43965,11.83864155
137,1996,<5,243.6528017
138,1996,>70,566.100663
139,1996,50-69,288.2768569
140,1996,43965,11.3043677
141,1997,<5,199.5470822
142,1997,>70,570.8465781
143,1997,50-69,289.43836
144,1997,43965,10.46792114
145,1998,<5,160.7059853
146,1998,>70,562.0106404
147,1998,50-69,283.4478362
148,1998,43965,10.16170029
149,1999,<5,138.5685531
150,1999,>70,552.9867584
151,1999,50-69,273.0913076
152,1999,43965,9.193030165
153,2000,<5,108.3619715
154,2000,>70,545.9903722
155,2000,50-69,265.6443021
156,2000,43965,8.03912734
157,2001,<5,78.25259661
158,2001,>70,532.629721
159,2001,50-69,255.6157623
160,2001,43965,6.947307496
161,2002,<5,60.98978003
162,2002,>70,535.1077054
163,2002,50-69,254.1097619
164,2002,43965,6.185020349
165,2003,<5,48.54730347
166,2003,>70,543.7285555
167,2003,50-69,255.0310285
168,2003,43965,5.748456955
169,2004,<5,38.29741368
170,2004,>70,539.4838238
171,2004,50-69,249.4340547
172,2004,43965,5.109756751
173,2005,<5,31.3640657
174,2005,>70,524.8780708
175,2005,50-69,242.480674
176,2005,43965,4.337642721
177,2006,<5,25.74763761
178,2006,>70,506.6897302
179,2006,50-69,227.5795302
180,2006,43965,3.563261923
181,2007,<5,20.79902875
182,2007,>70,474.8086155
183,2007,50-69,207.4280637
184,2007,43965,2.759560023
185,2008,<5,17.91429999
186,2008,>70,467.9323932
187,2008,50-69,200.8287952
188,2008,43965,2.206761894
189,2009,<5,15.53116744
190,2009,>70,461.3161148
191,2009,50-69,192.4763315
192,2009,43965,1.86145996
193,2010,<5,13.81247053
194,2010,>70,461.6599818
195,2010,50-69,187.2317675
196,2010,43965,1.576657912
197,2011,<5,12.38115247
198,2011,>70,458.0655044
199,2011,50-69,184.1815753
200,2011,43965,1.37517698
201,2012,<5,11.64094155
202,2012,>70,473.4961272
203,2012,50-69,188.4744489
204,2012,43965,1.221069983
205,2013,<5,10.96117911
206,2013,>70,482.6805717
207,2013,50-69,191.1170713
208,2013,43965,1.081172272
209,2014,<5,10.31249221
210,2014,>70,493.0096204
211,2014,50-69,195.3689465
212,2014,43965,0.94718185
213,2015,<5,9.579517286
214,2015,>70,489.8711468
215,2015,50-69,192.6201991
216,2015,43965,0.85018469
217,2016,<5,9.086588398
218,2016,>70,499.5371416
219,2016,50-69,195.2144498
220,2016,43965,0.78688316
221,2017,<5,8.544624144
222,2017,>70,502.1606956
223,2017,50-69,194.2047827
224,2017,43965,0.727883603
225,1990,<5,68.13217512
226,1990,>70,194.5307314
227,1990,50-69,157.1530107
228,1990,43965,4.222195732
229,1991,<5,54.3961921
230,1991,>70,173.0311682
231,1991,50-69,134.8188093
232,1991,43965,3.689694818
233,1992,<5,43.76498882
234,1992,>70,156.2349288
235,1992,50-69,118.2201164
236,1992,43965,3.258425791
