Year,Americas (excl. US and Brazil),Asia and Oceania (excl. China and India),Brazil,China,Europe,India,Middle East of Africa,United Satates
2004,1730000000,7340000000,850000000,3030000000,24810000000,2710000000,570000000,5560000000
2005,3320000000,9040000000,3150000000,8300000000,33350000000,3030000000,780000000,11870000000
2006,3710000000,10010000000,5150000000,11240000000,46880000000,4860000000,1120000000,29060000000
2007,5010000000,12380000000,11360000000,16730000000,66800000000,6690000000,1820000000,33230000000
2008,6050000000,13610000000,11770000000,25590000000,81790000000,5610000000,2310000000,35460000000
2009,5550000000,13940000000,7910000000,38770000000,82650000000,4280000000,1630000000,23950000000
2010,11980000000,19330000000,7240000000,39640000000,1.1338E+11,8840000000,4060000000,34720000000
2011,9290000000,23840000000,10230000000,47440000000,1.2288E+11,12780000000,2980000000,49060000000
2012,10090000000,30170000000,7660000000,61700000000,89050000000,7800000000,10160000000,40650000000
2013,12000000000,44430000000,4410000000,62010000000,59980000000,6560000000,9270000000,35330000000
2014,13280000000,48760000000,7970000000,87780000000,61990000000,8300000000,7900000000,37050000000
2015,12830000000,47560000000,7140000000,1.029E+11,48760000000,10160000000,12470000000,44110000000
