,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths),Air pollution (outdoor & indoor) (deaths),Outdoor air pollution (deaths),Diet low in fiber (deaths),Diet high in sodium (deaths),Diet low in legumes (deaths),Diet low in calcium (deaths),Diet high in red meat (deaths),Diet low in whole grains (deaths),Diet low in nuts and seeds (deaths),Diet low in seafood omega-3 fatty acids (deaths)
0,1990,9383749.724651592,7271638.765978874,5573526.733811206,12546287.166397806,2352204.511911111,160947.26628563873,15384562.583172828,4535457.439686438,8925657.733026396,5916573.353111761,8661018.28287173,1223502.6097580954,9161786.892255168,6172193.6230384745,2264770.077783628,4078242.3408796866,16553470.676718492,9522346.462442923,10535920.375737447,33268885.255912915,27511038.312779643,552843.441184321,646572.5406552228,4517178.054914624,717375.6356317429,21954496.610378586,10154086.38,2852038.862399087,10911261.519414537,1963958.8931032845,508957.01487176656,64936.41521498196,10309345.853791382,6743386.022621237,4706990.581144831
1,1991,9316095.909444056,7210032.751188254,5536705.983865083,12396729.101745099,2299008.586468911,156289.94810764692,15083740.157697625,4422823.812292688,8849850.188988484,5936311.8971641725,8965348.963111227,1306178.3991480502,9284758.215871707,6226966.837341437,2625826.565396825,4126108.5539259487,16886512.9572772,0.0,10840002.680343628,33752659.91962728,27920269.90191242,546047.6955978142,621936.4646700049,4449245.920618958,732742.8251838969,22079370.909191303,10439125.03,2893305.7432264644,11064264.827227022,1993961.7672566192,521791.1415957512,65847.42529009485,10466528.574618123,6834413.65181971,4772457.867766397
2,1992,9128270.335313443,7055046.780217442,5443576.056962609,12255075.055008039,2204921.710651363,148647.1388908054,14663332.992405493,4290804.804848833,8760055.448597869,5950386.888604625,9332339.45584996,1401337.5308201024,9469533.932721231,6327708.893351933,3045655.3835104224,4193313.053683849,17298981.257346794,0.0,11226305.373756997,34343776.77465212,28396320.704628438,549955.2096926108,595738.5331561393,4352444.6816329155,749447.6303035142,22196520.726587538,10704562.76,2954371.953039035,11258380.845658587,2042177.4100319194,535163.4730691047,66583.81850060647,10697058.22977283,6969647.470338771,4866229.643866856
3,1993,8953138.009639397,6906061.033626908,5351714.531887673,12049234.81934327,2118111.9496299135,141455.19693539763,14268696.567440838,4168363.8257910265,8642826.37440673,5977194.093461445,9747816.122770613,1497850.6731501063,9766660.657890059,6500257.343701532,3496495.2589779776,4340339.394205794,17901825.5189024,0.0,11835476.976963893,35389609.06399296,29149931.606283523,536949.3040781922,573338.6690955589,4266605.453011466,770491.3750897478,22316316.533410072,11032714.55,3056149.9096137322,11374712.110595755,2141230.614256301,551978.3928159454,68200.7826724435,11082390.338187214,7213346.053870421,5026026.211687734
4,1994,8786808.234579688,6763881.002921019,5263841.164202172,11857786.21229484,2039733.424673039,134877.52251646027,13923161.688690064,4057163.7718229312,8484917.182199005,5977281.54008268,10097581.657723725,1590511.8830568162,9979779.567702461,6599475.251024147,3975541.96063364,4417032.160771974,18347352.90856336,0.0,12299342.173988631,36053589.92356372,29590309.736761287,527791.6561283635,554807.7331074614,4188196.985983249,787449.8939777662,22344782.920965053,11254432.82,3120551.529062969,11395595.411399081,2201013.6850722153,563794.7764587562,68862.93885857402,11335752.961453563,7353270.94557099,5134713.8688707035
5,1995,8600912.840706646,6607276.896562135,5164856.762794926,11660871.399389185,1951038.8246486988,128359.9030360715,13918094.824268365,3938129.048122636,8353736.384758681,5939882.755963284,10328128.398650115,1674382.1639579763,10061344.143267967,6623400.253031492,4461242.069442181,4439775.1492952965,18680982.875990443,10614376.837479176,12594858.60180407,36367957.24445924,29854036.519579142,522489.9332669759,534984.3592766466,4080372.46778928,803322.1434458478,22258519.18038746,11360312.48,3145357.621644329,11447952.172220234,2211167.3602461433,574411.8883457457,69670.94721947797,11439386.79028121,7399516.025285863,5174110.222355051
6,1996,8369006.263619896,6415384.042268071,5043649.5658937,11451245.392665174,1859125.5285777152,121173.92081363258,13439635.87653305,3808812.6640043124,8196811.691669226,5879908.339567829,10430586.255041724,1725138.0469856965,10078260.604635406,6607900.120623336,4897186.230125583,4425975.508445317,18958046.279464033,0.0,12805676.441277096,36477235.893804215,29877979.05913934,515583.74224024074,505751.255892222,3956466.830221233,818399.507465975,22219762.815213077,11529716.28,3143422.275837995,11424171.982230365,2189546.0755646024,581757.3711414243,69939.50028694738,11453567.048842033,7385062.778584011,5177852.155027853
7,1997,8200162.635031808,6275881.932591248,4954779.606962764,11334442.875269538,1775892.3145902469,115083.35701114741,12985282.27587987,3676446.0908110845,8104027.657194892,5827308.355295097,10555740.72423556,1762115.7007531757,10122752.989323996,6606837.519236382,5301592.43023518,4425255.0999169415,19327184.84290035,0.0,13055969.736273337,36683920.64874361,29958721.227070175,517641.26787042455,479974.2193119613,3811368.881674116,839603.5978513372,22266619.03483069,11696233.27,3148662.34440392,11400447.166489456,2167795.6254924037,589470.0422095895,70153.24987521814,11500133.507425906,7397912.563397859,5200513.5233366825
8,1998,8059923.811750993,6158215.242446772,4872571.789214022,11158805.077092772,1708598.4576948322,111075.06382065632,12554589.103045512,3548025.103811954,8006345.933953648,5758977.709002461,10730969.109712612,1814069.2548195329,10171654.50227627,6603561.143239422,5785153.9562106235,4444715.407774671,19723122.40684796,0.0,13367583.22202955,36960085.65153109,30130326.918763213,519034.2961820667,457605.23176934256,3675048.7712617633,860679.8164017927,22231803.961965233,11836558.82,3158214.177081008,11422492.56103891,2160692.3319788347,600355.2323086311,71128.49183284017,11565975.728804126,7415594.2066343,5211975.092893716
9,1999,7875506.002058277,6003485.579574511,4761058.798656488,10876120.907313518,1639464.2769430277,107191.73827644301,12095266.438421391,3404888.0370808216,7871033.131275326,5694690.850353007,11004973.39558404,1882312.0566577462,10345967.55025326,6670301.030342765,6327286.619691567,4525682.437899102,20240015.125543237,0.0,13880035.545350034,37595455.17849838,30414786.348167296,517523.6946315431,434049.62321128085,3508456.0801884118,882308.5736497543,22089296.703850385,11958979.3,3214036.8674786687,11524479.285399862,2210063.009785736,613820.8923123446,72618.50101249298,11776118.69974651,7533236.512534283,5297587.614143375
